token_id,token,frequency,amplitude
715,goods,-2.439364,1.007945
716,spices,-1.499049,0.982612
717,poor,-0.539993,0.576704
718,struggled,-3.514227,1.018732
719,feed,2.870052,1.050584
720,raced,-2.674845,0.939625
721,highway,-2.250151,1.011628
722,slow,-0.516128,0.900484
723,stopped,-0.222242,0.975127
724,flooded,-0.416697,1.038560
725,caused,0.032824,0.769264
726,problems,-1.607033,0.961772
727,dusted,1.792502,0.977002
728,powdered,1.237667,1.120277
729,sugar,0.072243,0.843437
730,cake,-0.012325,0.993589
731,clean,-2.753986,0.790899
732,sparkled,-6.321682,0.928977
733,sunlight,1.728445,1.045194
734,liquid,-3.549688,1.014730
735,dirty,2.101629,0.948503
736,washed,0.092667,0.912478
737,closed,-2.951426,1.179650
738,bakery,-4.341158,1.067321
739,smelled,-6.892972,1.016895
740,absolutely,-0.179745,0.940737
741,wonderful,0.386728,1.011587
742,stale,1.191257,0.945909
743,breathing,-0.481118,1.186368
744,sound,-5.389638,0.892996
745,violin,0.351575,0.986471
746,concert,0.288208,0.893364
747,bitter,0.843508,0.933529
748,taste,-0.193438,1.012682
749,soft,-4.552488,0.797535
750,kept,-4.603646,0.972872
751,rock,3.716405,1.076151
752,dig,5.310742,0.772719
753,foundation,2.281043,1.003765
754,sharp,2.561840,1.003960
755,knife,0.169058,0.968278
756,cut,2.315353,1.133740
757,rope,-5.159131,1.081951
758,easily,-0.197757,0.916467
759,blunt,3.949019,0.927508
760,pencil,2.001944,1.131425
761,sharpened,2.147610,0.903134
762,round,0.321968,0.896985
763,square,0.694965,1.015062
764,box,-0.381408,1.284384
765,fit,3.518951,0.980836
766,shelf,-0.691569,0.918011
767,closet,-5.140014,1.084298
768,apple,-1.817626,1.079975
769,hanging,-2.291778,1.115266
770,far,2.501687,0.940198
771,eye,1.379160,1.081185
772,mountainside,-3.295692,0.928103
773,completely,2.551356,0.932718
774,pristine,-1.928343,0.990107
775,black,1.675104,0.909872
776,brown,-0.909654,0.801064
777,brilliant,-4.123837,0.876721
778,silver,5.696133,1.080575
779,reflected,4.889597,0.898715
780,always,-2.955694,0.889735
781,exciting,-1.538215,1.025342
782,little,-2.976767,0.922707
783,scary,-2.423485,1.045230
784,last,-4.941463,1.004312
785,revealed,1.260625,0.883495
786,surprising,3.521215,0.920033
787,truth,2.784615,0.990428
788,best,1.838287,0.903098
789,part,0.208589,1.270273
790,trip,-1.775741,1.055334
791,view,-1.251589,0.850665
792,worst,-2.866542,1.037346
793,power,-3.957139,0.980616
794,lines,3.300492,1.177731
795,most,0.904658,0.890674
796,important,0.985698,1.022704
797,thing,1.702910,0.846172
798,kind,-1.412028,0.979694
799,least,4.763461,1.027288
800,won,7.100884,1.086449
801,prize,-1.394974,1.038778
802,annual,1.107043,0.849126
803,ceremony,-1.004815,0.877272
804,way,-0.912348,1.089812
805,succeed,-0.118176,0.891219
806,dedication,-4.076263,0.872870
807,story,-2.251559,0.924155
808,has,2.027403,0.953994
809,been,0.064147,0.763939
810,ways,4.820166,0.955409
811,side,-1.189664,1.146715
812,step,-7.122138,0.853376
813,plan,-2.720808,0.901191
814,required,-5.556650,0.913527
815,careful,-3.218708,0.974183
816,planning,3.825557,1.225400
817,agreed,1.171143,0.908523
818,change,-0.249723,0.993883
819,necessary,3.441519,1.015360
820,now,-2.164815,0.910941
821,some,1.048970,0.779917
822,believe,9.353344,1.026899
823,luck,-1.846626,0.881595
824,plays,2.092061,1.030896
825,role,-4.248943,0.991400
826,success,2.898199,0.950517
827,migrate,-1.060105,1.085010
828,south,5.092373,0.969832
829,when,-1.236499,1.046035
830,months,-3.238548,1.089394
831,approach,-0.976228,1.207368
832,are,-0.513130,0.928990
833,satisfying,-0.813374,0.869789
834,job,3.479931,1.205528
835,well,-4.348300,1.101747
836,done,1.615260,0.984323
837,passed,-2.146699,0.998785
838,studying,1.317411,1.090927
839,weeks,-0.851630,0.826237
840,win,3.504552,1.060570
841,year,-2.513649,0.785049
842,each,-1.418744,1.177086
843,brought,2.009088,1.027917
844,share,5.686528,0.991327
845,picnic,0.131867,1.082907
846,brothers,4.270984,0.912764
847,build,-1.852317,1.070270
848,scratch,0.381615,1.077199
849,either,-1.572894,0.969807
850,leads,2.247975,0.945386
851,destination,-2.460751,0.971686
852,neither,-3.331760,0.901666
853,option,1.641370,1.029162
854,seemed,-3.139503,0.813034
855,so,-3.699316,1.035662
856,waited,1.042481,0.866895
857,better,0.361496,1.060729
858,window,-1.261430,1.175590
859,let,1.903134,1.007604
860,playground,6.688353,1.147279
861,laughing,-1.266064,0.863231
